Question,Hint
仕事がイヤだと思うのはどんな時？,
何が改善されればイヤじゃなくなるか？,
仕事のどこにやりがいを感じる？,
理想の働き方は？,
理想の働き方を叶えるには？,
どんな時に仕事が進まないのか？,
時間がかかってしまうポイントはどこか？,
どうやったら仕事が進むようになるか？,
効率的な仕事の進め方とは？,
仕事の手ごたえを感じるのはどんな時？,
仕事が遅い人の特徴は？,
仕事が早い人の特徴は？,
仕事を早く終わらせるには？,
仕事を続けるモチベーションになっているものは？,
仕事を続けるメリット,
仕事を続けることでのデメリット,
どんな時に仕事を辞めたいと思う？,
論理的に話せるようになるには？,
なぜ論理的に話せなくなるのか？,
どんな時論理的に話すことを求められるか？,
論理的に話してほしいと思うのはどんな時？,
タスクに優先順位を付けるとどうなるか？,
なぜ優先順位がつけられないのか？,
優先順位をつけられるようにするにはどうするか？,
アウトプットが必要と感じるのはどんな時？,
どうすればより良いアウトプット出来る？,
インプットが必要と感じるのはどんな時？,
どうすればより良いインプット出来る？,
どんな人に仕事を教わりたいか？,
なぜその人に仕事を教わりたいか？,
自分が教える時に気を付けることは？,
ついつい聞き入ってしまうのはどんな話し方？,
話を聞き入ってしまう人の特徴は？,
聞き入ってもらえるような話し方をするには？,
アドバイスをする時に気を付けることは？,
アドバイスされる時に気を付けたいことは？,
職場での空気が良くないと感じるのはどんな時？,
職場の人間関係を良くするためには？,
社内で変えたいと思っていることは？,
仕事でこだわっているところは？,"stick to, particular about, committed to"
仕事でこだわりがないところは？,"stick to, particular about, committed to"
仕事でミスしがちなところは？,
仕事でミスを減らすにはどうしたら良い？,
熱量こめて取り組める仕事は？,"pour one's passion into ~, passionate"
集中力のある人の特徴は？,
集中力を高めるにはどうしたら良いか？,
向上させたい能力はなにか？どうすれば向上させられるか？,
自分が仕事で求められていることは？なぜ？,
求められていることに応えるには？,
今の仕事は世にどんな影響を与えているか？,
今の仕事は自分にどんな影響があるか？,
仕事で努力が報われたと感じた経験は？,
仕事で挑戦した経験は？,
挑戦で浮かんだ課題は？,
挑戦で得られたことは？,
仕事で挫折した経験は？,
挫折からどう立ち直った？,
挫折を通じて何を得られた？,
心地良い職場環境とは？,
苦手な職場環境とは？,
有給が取りにくいと感じるのはどんな時？,
なぜ有給取りにくいと感じるのか？,
気持ちよく有給を取るには？,
職場の人から何と言われることが多い？,
職場の人にどんな声掛けをすることが多い？,
人よりも早く出来ることは？,
職場の人に褒められるのはどんなこと？,
得意じゃないけど出来ることは？,
職場でこうなってほしいと思うところは？,
新人時代に強く印象に残っていることは？,
印象に残る職場の方の言葉は？,
どんな人と働きたいか？,
一緒に働きたいと思ってもらうにはどうするか？,
幸せに働くためには何が必要か？,
意見がまとまらないのはどんな時？,
皆が納得できるようにするにはどうするか？,
アイデアが出やすいのはどんな時？,
アイデアを出やすくするには？,
視野が狭くなってると感じるのはどんな時？,
視野を広げるにはどうするか？,
時代の変化に乗れてないと思うのはどんな時？,
時代の変化に対応するには？,
職場の人と打ち解けられるのはどんな時？,
人の役に立っていると感じるのはどんな時？,
なぜ人の役に立つことが良いことなのか？,
より人の役に立てるようになるには？,
いなくなったら困る人の特徴は？,
いなくなったら困ると思ってもらうためには？,
どんなお客さまのためになりたいか？,
そのお客さまのために出来ることは何か？,
仕事でのこの1ヶ月の目標は？,
仕事での半年目標は？,
1年後どうなっていたいか？,
3年後どうなっていたいか？,
5年後どうなっていたいか？,
10年後どうなっていたいか？,
今日良かったこと,
今日の反省ポイント,
関わると幸せになれるものは何？,
心を開けるのはどんな時？,
心を開いてもらうには何をする？,
なかなか心を開いてもらえない時何をする？,
気を使ってしまうのはどんな時？,
気を使いすぎないようにするには？,
他人に左右されてしまうのはどんな時？,
なぜ他人に左右されてしまうのか？,
他人に左右されないためにはどうする？,
ストレスが溜まるのはどんな時？,
ストレスを溜めないようにするには？,
人に頼りたいと思うのはどんな時？,
人に頼れないなと思うのはどんな時？,
なぜ人に頼れないのか？,
人に頼れるようになるには？,
焦ってしまうのはどんな時？,
焦らずにいられるのはどんな時？,
焦らずにすむにはどうするか？,
完璧主義が出るのはどんな時？,
テキトーでいられるのはどんな時？,
なぜ完璧主義になってしまうか？,
ほどほどに過ごすにはどうしたらいいか？,
相手に踏み込みすぎるのはどんな時？,
踏み込みすぎないようにするには？,
人に嫌われたくないと思うのはどんな時？,
嫌われたかも…と思うのはどんな時？,
なぜ人に嫌われたくないか？,
人に嫌われないようにするにはどうするか？,
嫌われることを気にしないようにするには？,
自信があるのはどんな時？,
自信が無いのはどんな時？,
なぜ自信が無いのか？,
自信をつけるにはどうするか？,
調子が良いのはどんな時？,
調子が悪いのはどんな時？,
調子が悪くなる原因は？,
常に調子良くいるには？,
恵まれていると思うことは？,
恵まれた人生を送り続けるには？,
自分の強みは？,
人にどんな性格だと言われるか？,
自分の弱みは？,
弱みだと感じたきっかけは？,
どんどん行動できるのはどんな時？,
全然行動できないのはどんな時？,
やる気が出るのはどんな時？,
やる気が出ないのはどんな時？,
やる気が出るようになるには？,
人にやる気を出してほしいと思うのはどんな時？,
人にやる気を出してほしい時どうする？,
相手に合わせてしまうのはどんな時？,
相手に合わせずいられるのはどんな時？,
相手に合わせないとどうなる？,
なぜ相手に合わせてしまうのか？,
相手に合わせすぎないようにするには？,
自分を大事に出来るのはどんな時？,
自分を大事に出来てないのはどんな時？,
自分を大事に出来ないとどうなる？,
なぜ自分を大事に出来ないか？,
自分を大事にするにはどうする？,
周りの目が気になるのはどんな時？,
なぜ周りの目が気になるのか？,
どうすれば気にならなくなるか？,
イライラしてしまうのはどんな時？,"irritated, frustrated"
イライラするとどうなる？,"irritated, frustrated"
なぜイライラしてしまうのか？,"irritated, frustrated"
イライラしなくなるにはどうする？,"irritated, frustrated"
気持ちが落ち着いているのはどんな時？,
気持ちが落ち着く要因は？,
気持ちが落ち着かないのはどんな時？,
気持ちが落ち着かない原因は？,
いつも気持ちを落ち着けるには？,
見返りを求めてしまうのはどんな時？,
なぜ見返りを求めてしまうのか？,
見返りを求めないようにするには？,
言いたいことが言えないのはどんな時？,
言いたいことが言えるのはどんな時？,
なぜ言いたいことが言えないのか？,
言いたいことを言えるようになるには？,
クヨクヨしてしまうのはどんな時？,
なぜクヨクヨしてしまうのか？,
クヨクヨしなくなるにはどうするか？,
人をうらやましいと思うのはどんな時？,
なぜうらやましく思うのか？,
うらやましがらずにいるには？,
幸せを感じるのはどんな時？,
なぜ幸せを感じるのか？,
ずっと幸せを感じられるようになるには？,
すぐに決断できるのはどんな時？,
すぐに決断できるとどうなる？,
すぐに決断できないのはどんな時？,
すぐに決断できないとどうなる？,
なぜすぐ決断できないのか？,
どうすればすぐ決断できるようになるか？,
楽しいと思うのはどんな時？,
なぜ楽しいと思ったのか？,
楽しい時間を増やすにはどうしたらよいか？,
悔しいと思うのはどんな時？,
なぜ悔しいと思うのか？,
悔しいと思うことを減らすにはどうする？,
心を乱されるのはどんな時？,
心を乱されないようにするにはどうするか？,
感動するのはどんな時？,
なぜ感動するのか？,
感動を生み出すにはどうするか？,
努力できるのはどんな時？,
努力できないのはどんな時？,
努力できるようになるにはどうする？,
ワクワクするのはどんな時？,
ワクワクする時間を増やすには？,
刺激を受けたと感じるのはどんな時？,"inspired, stimulated"
刺激を受ける機会を増やすには？,
刺激を与える存在になるには？,
飽きてしまうのはどんな時？,
飽きないようにするには？,
飽きさせていると思うのはどんな時？,
飽きさせないようにするには？,
いくらやっても飽きないことは？,
情緒不安定になるのはどんな時？,
情緒不安定にならないようにするには？,
自分を褒めたいと思うのはどんな時？,
痛いところを突かれたと思うのはどんな時？,
痛いところを突かれる前にできることは？,
感謝の心が湧いてくるのはどんな時？,
日々感謝の心を持つには？,
ここは譲れないと思うことは？,
ここは譲っても良いと思えることろは？,
マネしたいと思うのはどんな時？,
マネで終わらないようにするにはどうするか？,
口コミしたくなるのはどんな時？,
口コミしたくなるものを作るには？,
気分が乗らないのはどんな時？,
良い気分で過ごすにはどうするか？,
本音で生きるとしたら何をする？,
大笑い出来るのはどんな時？,
笑顔で入れる時間を増やすには？,
夢中になれるのはどんな時？,
夢中でいられる時間を増やすには？,
ある・持っていると感じることは？,
無い・持っていないと感じることは？,
主体性を持って動けるのはどんな時？,
なぜ主体性が持てない時があるのか？,
いつも主体的に動くには？,
本音に従って行動できるのはどんな時？,
本音に従うとどうなる？,
なぜ本音に従えない時がある？,
日々本音に従って生きるには？,
覚悟するってどんな感覚？,
習慣になっていることは何か？,
なぜ習慣化できているのか？,
習慣にならない時の共通点は？,
ダラダラしてしまうのはどんな時？,
なぜダラダラしてしまうのか？,
ダラダラせず過ごすには？,
時間が無いと感じるのはどんな時？,
なぜ時間が無いと感じるのか？,
時間に余裕を持つには？,
どんなことに時間を使いたいか？,
寝れないのはどんな時か？,
ぐっすり眠れるようにするには？,
お金が無いと感じるのはどんな時？,
お金が無いとどうなる？,
なぜお金が無いと感じるのか？,
お金に余裕がある状態にするには？,
どんなことにお金を使いたいか？,
どんなことにお金を使いたくないか？,
お金を使うのは怖いと感じるのはどんな時？,
なぜお金を使うのが怖いと感じるのか？,
怖がらずにお金を使うには？,
貯金をしたいと思うのはどんな時？,
貯金があるとどうなる？,
なぜ貯金したいと思うのか？,
貯金に余裕がある状態にするには？,
一億円あったらやりたいことは？,
お風呂が面倒だと思うのはどんな時？,
なぜお風呂は面倒なのか？,
気持ちよくお風呂に入るには？,
家を片付けたいと思うのはどんな時？,
家を片付けるとどうなる？,
なぜ片付けたいと思うのか？,
キレイな家を保つにはどうするか？,
片付けるのが面倒だと思うのはどんな時？,
片付けずにいるとどうなる？,
なぜ片付けるのが面倒なのか？,
楽に片付けるにはどうするか？,
片づけで得られることは何か？,
早起きできないのはどんな時？,
早起きできないとどうなる？,
なぜ早起きできないのか？,
なぜ早起きが良しとされていると思うか？,
気持ちよく起きるにはどうするか？,
ダイエットしたいと思うのはどんな時？,
ダイエットするとどうなる？,
なぜダイエットしたいと思うのか？,
ダイエットできるようになるにはどうするか？,
自分にとって家族とは何か？,
家族との関係が上手くいかないのはどんな時？,
家族関係が良いのはどんな時？,
家族と関係が良いとどうなる？,
家族関係が良い要因は？,
家族と良い関係でいるにはどうするか？,
どんな人と仲良くなりやすいか？,
どういうきっかけで人と仲良くなりやすいか？,
仲良い人といるとどうなる？,
人と仲良くなる要因は？,
どんな人とぶつかり合いやすいか？,
どういうきっかけでぶつかることが多いか？,
解決の糸口はどうやって見つけるか？,
リラックスできるのはどんな空間？,
リラックスできる空間を増やすには？,
生活を支えてくれるのは何か？,
自立に必要なことは何か？,
人生を変えたいと思うのはどんな時？,
人生が変わったらどうなる？,
なぜ人生を変えたくなるのか？,
人生で避けたいことは？,
人生で大切にしたいことは？,
なぜそれを大切にしたいのか？,
人生でやり残していることは？,
後悔無い人生にするには？,
死ぬ時に何と言われたいか？,
死ぬ瞬間をどう迎えたいか？,
生まれ変わったらどうなりたいか？,
理想のライフスタイルは？,
理想の朝の過ごし方は？,
理想の夜の過ごし方は？,
理想の平日の過ごし方は？,
理想の休日の過ごし方は？,
理想の家は？,
理想の老後は？,
理想を叶えるには何をする？,
暮らしの中で変化させたいことは？,
どんな街で暮らしたいか？,
どんな人と暮らしたいか？,
なぜ○○を買うか悩むのか？,
○○を買わないとどうなるか？,
○○を買うとどういう気持ちになるか？,
今学んでいることは？,
学びたいと思っていることは？,
なぜ学びたいと思っているのか？,
○○を学ぶことでどう変わるか？,
価値ある人生ってどんなイメージ？,
1ヶ月休みがあったら何をする？,
どんな時に検索をする？,
なぜ検索するのか？,
よりよい検索結果を得るには？,
ご褒美と言えば何が浮かぶ？,
饒舌になってしまうのはどんな時？,"treat, reward, splurge"
なぜ饒舌になるのか？,"talkative, loquacious"
試してみたいと思っていることは？,
最近知れてよかったと思ったことは？,
自分を後回しにしてしまうのはどんな時？,"put it off, postpone"
自分を後回しにするとどうなる？,"put it off, postpone"
なぜ後回ししてしまうのか？,"put it off, postpone"
後回ししないようにするにはどうするか？,"put it off, postpone"
頭をやわらかくするには？,"put it off, postpone"
頭がやわらかい人の特徴は？,"open-minded, flexible"
